logit,Theta
-0.397940009,-1.20150884
0.505149978,1.48156701
-0.210853365,-0.79295224
-0.041392685,0.08994389
-0.041392685,-0.90049002
-0.301029996,0.04620326
0.041392685,-0.25305848
0.124938737,0.86513693
-0.505149978,-1.84103304
-0.041392685,0.59533258
-0.301029996,0.32829092
-0.210853365,-0.35263172
-0.210853365,-0.17420459
-0.124938737,-0.873948
0.041392685,0.79498964
0.124938737,-0.3486565
0.77815125,1.67892514
-0.397940009,-1.72570848
0.041392685,0.02635948
-0.210853365,0.0755039
0.041392685,-0.2409959
0.041392685,1.28259614
-0.505149978,-0.85290443
-1.301029996,-1.93304882
0.041392685,0.0106569
-0.210853365,-0.56014057
0.210853365,0.71747582
0.77815125,1.79371871
-0.210853365,0.02927209
-0.505149978,-0.8945916
-0.77815125,-1.62504734
0.210853365,0.59829883
-0.041392685,-1.06966203
0.397940009,0.60541295
0.210853365,0.39874699
0.62838893,1.43252062
0.301029996,0.15042989
0.301029996,1.627543
-0.041392685,0.04640578
0.977723605,1.41482564
-0.124938737,-0.01939746
-0.210853365,-1.06727549
0.124938737,0.44396581
-0.397940009,-1.47309532
0.397940009,0.34688341
-0.210853365,-0.73940404
-0.301029996,-1.40028609
-0.301029996,-1.2186779
-0.62838893,-1.95257622
-1.301029996,-2.29352542
-0.124938737,-0.95385166
0.505149978,1.43058777
-0.977723605,-1.43397252
0.505149978,1.72167051
0.124938737,-0.09694818
-0.397940009,-1.71972953
-0.62838893,-1.19190057
0.210853365,1.42665503
-0.041392685,0.34723811
0.977723605,1.18146051
0.041392685,0.26312277
-0.62838893,-1.84649778
-0.124938737,-0.15562795
-0.041392685,-0.09102371
0.041392685,0.1986456
0.301029996,0.07396457
0.210853365,0.94069579
-0.397940009,-0.76686831
-0.397940009,-1.42307829
-0.124938737,-0.14857667
-0.301029996,-0.55498296
0.397940009,0.69611475
-0.301029996,-0.40314001
0.62838893,1.59719611
-0.505149978,-0.46014741
-0.397940009,-0.57029602
0.041392685,-0.56818342
0.041392685,0.52878842
-0.210853365,-0.16931092
-0.301029996,-0.01713452
0.210853365,0.74069567
-0.301029996,-0.99377568
0.301029996,0.76050757
0.62838893,0.97507084
0.210853365,0.40274347
